image,description
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_chips_packet_1672.png,A bag of chocolate chip cookies sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/floss_dispenser_647.png,A box of toothpaste sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_plastic_lids_2041.png,A group of different colored plastic caps on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Styrofoam_take_out_food_container_2166.png,A white takeout container sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1539.png,A group of different colored plastic cutlery on a black background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_plastic_packet_of_peanut_1216.png,A plastic bag with a receipt on top of it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_plastic_sauce_packet_466.png,A bag of food sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dish_washing_gloves_495.png,A pair of purple rubber gloves sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foam_plate_683.png,a white plate on a black background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/babybel_wax_40.png,babybel candy in a mesh bag on a wooden table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1519.png,A white paper plate on a black background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1443.png,a black fork on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_clothing_min_1229.png,A pair of black socks sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1367.png,a green kitchen knife on a white background royalty illustration
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/food_foil_wrapping_699.png,a close up of a piece of foil on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/test_strip_container_2211.png,A jar of black liquid sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste_2.png,A tube of toothpaste sitting on a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/straw_packaging_2152.png,A clear plastic stick sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1571.png,A bunch of spoons sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1523.png,A stack of blue plates sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_straw_1645.png,A red plastic straw on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pencil_shavings_1290.png,A pile of wood shavings on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/blister_packaging_92.png,a close up of a pack of pills on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/clean_small_plastic_food_pouch_287.png,A clear plastic bag sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foam_plate_676.png,a white plate on a black background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1591.png,A white plastic spoon on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1409.png,a fork on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/hair_tie_787.png,A blue elastic band on a concrete surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/snack_wrapper_2095.png,A piece of foil wrapped in red and white paper.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1820.png,A bunch of soda bottle caps sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1576.png,A set of four white spoons sitting next to each other.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/vape_juice_container_2449.png,A bottle of ice ice on a wooden surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1459.png,A white plastic fork on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/little_pack_1093.png,A package of food sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_sticker_2434.png,a close up of a sticker on a wooden table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/reusable_plastic_food_packing_1929.png,A bottle of hand sanitizer sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tissue_box_2217.png,A box with a black phone inside of it on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cup_lid_387.png,A black coffee cup sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Coffe_cup_cap_312.png,A coffee cup lid sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Razor_cartidge_1919.png,A small black object sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dog_food_bag_537.png,A bag of dog food sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/wipe_box_2475.png,A package of Lysol wipes sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1404.png,A white plastic fork on a gray surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cane_candy_wrapper_173.png,A packet of candy sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_plastic_packet_of_snack_1217.png,A bag of chips sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1808.png,a pile of soda bottle caps - stock image
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1472.png,A green plastic fork sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy sphagetti wrap .png,Two bags of food sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee_pods_325.png,A coffee cup sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/brush_142.png,a close up of a red button on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1392.png,a white knife on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/clean_food_wrapping_plastic_275.png,A clear plastic bag sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tissue_cartoon_box_2227.png,A white box sitting on top of a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy plastic_22.png,A bag of gummy bears sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foil_food_wrapper_692.png,A piece of aluminum foil on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/ketchup_packet_1053.png,A packet of ketchup sitting on a concrete surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/rubber cleaning glove.png,A pair of yellow rubber gloves sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/gummy_bag_775.png,A bag of candy sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2317.png,A tube of cocoa butter moisturizing body lotion on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1573.png,A group of spoons sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1344.png,a knife with a long handle on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_dog_food_plastic_container_with_seal_2017.png,A couple of bags of food sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/spicy_sauce_packet_2127.png,A red packet of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/mask_used_1111.png,A blue surgical mask on a wooden surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_key_hanger_1715.png,A green pen with a white logo on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Styrofoam_packaging_2163.png,A white plastic container sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/face_mask_632.png,A pair of face masks sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1618.png,A set of six white plastic spoons on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee_lid_334.png,A white paper cup sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1575.png,a set of six spoons on a black background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_pipe_filter_2419.png,A small piece of paper with a red and white logo on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/greasy_chocolate_plastic_763.png,A package of Twix on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/red_flavour_packet_1920.png,A packet of black tea sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/butter_popcorn_packet_152.png,A bag of popcorn sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/fruit_snack_wrapper_725.png,A bag of strawberries sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/protein_bar_wrapper_1895.png,A piece of foil wrapped around a piece of chocolate.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/match_striker_1112.png,A small yellow box sitting on top of a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tissue_box_2223.png,A purple and black box sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dog_toy_538.png,A piece of chocolate sitting on top of a piece of paper.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cleaning_sponge_dirty_293.png,A piece of green felt on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Lysol_wipe_1102.png,A piece of paper sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/empty_sausage_packet_598.png,A package of sausages sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2309.png,A tube of body lotion on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_foil_food_wrapper_408.png,A piece of foil sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1634.png,A green plastic spoon sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/coffee_pouch_326.png,A bag of coffee sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_medical_tape_2414.png,A piece of paper with a hole in it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/piece_of_plastic_gutter_1322.png,A piece of metal sitting on top of a cement floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_coffee_pod_2388.png,A cup of coffee sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_plastic_251.png,A bar of chocolate sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1853.png,a pile of soda bottle caps - stock image
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/food_packaging_709.png,A bag of fish fillets sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Resealable_deli_meat_package_1925.png,A package of natural selections oven roasted turkey breast sitting on top of a stove.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_noodle_wrapper_1733.png,A bag of ramen sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/joints_weed_1050.png,A small piece of wood sitting on top of a white towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/empty_sussage_bag_560.png,A bag of hot dogs sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/babybel_wax_28.png,A red and white ball with a red ribbon around it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/salad_sauce_sachet_1962.png,A package of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/snack_wrapper_2089.png,A bag of candy sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste_tube_2262.png,A tube of toothpaste sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cream_tube_374.png,A tube of milk sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/paper_food_sleeve_1282.png,A red box with a black and white logo on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/meat_plastic_wrap_1113.png,A plastic bag sitting on top of a black tray.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/light_bulb_1083.png,A white light bulb sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/razor_refill_head_1907.png,A close up of a razor blade on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/expired_food_packet_619.png,A bag of Jack Link's Smokehouse Snacksticks on a black background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dish_sponge_494.png,A blue sponge sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_metal_lid_2023.png,a close up of a metal container on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/nailpolishbottle_1170.png,a bottle of red nail polish on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tea_bag_packet_2203.png,A packet of peppermint sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chips_bags_209.png,A bag of Lay's cheddar jalapeno chips sitting on a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/stamped_plastic_wrapping_2137.png,a close up of a piece of paper on a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_straw_1639.png,A purple plastic straw sitting on top of a glass window.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/soy_sauce_packet_2122.png,A packet of kikkoman sauce sitting on top of a white towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1857.png,a pile of soda bottle caps on a white background - stock image
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2341.png,A tube of cream sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/metal_lid_1122.png,A can of soda sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/drier_lint_545.png,A pile of wool on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/small_snack_bag_2065.png,A package of blue food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tea_bag_packet_2199.png,A packet of green tea sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/bacon_packaging_54.png,A bag of bacon sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_packaging_plastic_248.png,A package of fruit sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tape_roll_2196.png,A roll of gray tape sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/empty_chocolate_wrapper_575.png,A piece of paper that is sitting on a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/sponge_2132.png,A piece of black tarp with a blue square on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/clif_bar_package_303.png,A bag of chocolate chips sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foam_wrapper_689.png,A small piece of clear plastic on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1840.png,A stack of books sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/powder_spice_small_bag_1879.png,A bag of sesame paste sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pen_1293.png,A green pen sitting on top of a white towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/blister_packaging_105.png,A blister pack of pills sitting on a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1385.png,a fork and knife on a white background - stock image
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_snack_bag_1198.png,A package of food sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/salad_sauce_sachet_1958.png,A bag of garlic sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_spoon_1630.png,A yellow plastic fork on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1507.png,a white paper plate on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1849.png,A bunch of beer bottle caps that are on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/resealable_cheese_bag_1924.png,A bag of cheese sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_diaper_2360.png,a diaper on a wooden table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/razor_refill_1908.png,A close up of a razor blade on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothbrush_2245.png,A blue toothbrush sitting on top of a carpet.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/looks like some kind of fabric.png,A piece of toilet paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/candy_wrapper_170.png,A white plate topped with a bag of food.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/thing used to close bags of bread.png,A piece of paper that is sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/sausage plastic wrap.png,A package of meat sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/beverage_container_plastic_cap_68.png,A white plastic container sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/water_filter_plastic_cover_2460.png,A piece of paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic bottle .png,A bottle of liquid sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1361.png,"fork, knife and spoon - stock image"
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/clean_plastic_food_bag_278.png,A bag of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toast_plastic_bag_2229.png,A bag of mini wheat toast sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pen_1302.png,A red and white pen sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tube_body_lotion_2328.png,lalique amethyst body lotion 150ml
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_socks_1249.png,a pair of black socks sitting on top of a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/snack_wrapper_2097.png,a close up of a metal object on a white surface
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/protein_bar_wrapper_1890.png,A piece of paper sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/peanut_bar_wrapper_1287.png,A package of food sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/metal_sticks_1130.png,A silver plate with a wire wrapped around it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_chocolate_bar_wrapper_2385.png,A bar of chocolate covered in green peas on a counter top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_styrofoam_479.png,A roll of white paper towel sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_furnace_filter_445.png,A picture of a pleated air filter on a wall.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/expired_bulb_617.png,A close up of a person's hand holding a light bulb.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Glass_Light_Bulb_743.png,A light bulb sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_plastic_food_bag_1188.png,A bag of crackers sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/babybel_wax_26.png,a small red container with a small piece of cheese in it
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/silica_gel_packet_1996.png,A piece of paper sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non_stretchy_plastic_for_packaging_1191.png,A plastic bag sitting on top of a stove top.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/roll_of_packing_tape_1940.png,A roll of tape sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/babybel_wax_33.png,A bag of babybel candies sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic bag_9.png,A clear plastic bag sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used sponge.png,A piece of green paper on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/glue_container_745.png,A syringe sitting on top of a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Plastic_packet_1486.png,A bag of Doritos chips sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/burnt_matchstick_151.png,A matchstick sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cotton_swab_362.png,A pair of yellow and white cotton swabs sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1793.png,A bunch of bottle caps that are on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_burner_liner_431.png,A metal plate with rust on it sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/used_bloody_bandaid_2381.png,A band aid on a white surface. 
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1860.png,A bunch of bottle caps that are sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/old_elastic_band_1234.png,A purple rubber band on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/latex_glove_1068.png,A pair of blue gloves sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy bag_38.png,A bag of food sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/bottle_cap_swing_top_119.png,A silver plate with a wire wrapped around it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cigarette_bud_white_269.png,A piece of metal sitting on top of a black surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/blister_packaging_101.png,A pack of blue pills sitting on top of each other.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/razor_refill_1909.png,A close up of a razor blade on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dishwasher_pod_wrapper_499.png,A plastic bag sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1375.png,a white plastic knife on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1427.png,a fork with a white handle on a white background
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/diaper_400.png,A pair of white diapers sitting on a tiled floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cellophane_wrapper_177.png,A piece of plastic on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Old_Toothpaste_Tube_1257.png,A tube of toothpaste sitting on a carpeted floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_salad_dressing_lid_474.png,A small white bowl sitting on top of a concrete floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1801.png,A bunch of beer bottle caps that are on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/soup_foil_wrapper_2121.png,A package of food sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste_container_2284.png,a tube of toothpaste sitting on top of a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_styrofoam_cup_424.png,A cup of ice cream with a black straw in it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/brown_rice_pasta_package_141.png,A bag of brown rice pasta sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/foam_plate_682.png,a stack of white plastic plates on a white background
